category,price,discount,quantity,payment_method,delivery_time_days,region,total_amount,shipping_cost,profit_margin,customer_age,customer_gender,returned
4,26.09,0.0,1,1,3,0,26.09,7.07,0.24,35,1,0
5,155.27,0.05,1,2,3,2,147.51,6.29,37.96,24,1,0
3,3.89,0.05,2,4,4,0,7.39,4.18,-3.59,55,0,0
5,218.68,0.0,1,3,6,2,218.68,7.33,58.27,51,0,0
3,11.03,0.0,1,1,5,1,11.03,3.18,-2.3,60,1,0
2,86.75,0.0,1,4,6,2,86.75,6.47,23.89,40,1,0
1,209.78,0.0,1,1,3,2,209.78,7.87,17.3,63,0,0
2,56.39,0.0,1,3,3,2,56.39,6.49,13.25,55,1,0
4,124.46,0.2,1,2,6,3,99.57,4.74,23.14,65,1,0
4,177.49,0.05,1,1,3,2,168.62,8.4,38.81,51,0,0
5,73.43,0.0,1,0,3,0,73.43,5.05,16.98,49,0,0
4,14.07,0.0,1,5,6,1,14.07,4.0,-0.06,37,1,0
1,638.24,0.05,1,2,4,3,606.33,11.09,61.67,29,1,0
4,41.8,0.1,1,0,5,1,37.62,5.39,5.14,44,0,0
5,198.02,0.05,1,2,4,3,188.12,9.25,47.19,20,1,0
1,130.04,0.1,1,3,3,2,117.04,6.98,7.06,18,1,0
0,22.28,0.0,1,4,3,2,22.28,6.6,3.43,56,1,0
5,165.63,0.1,2,0,4,2,298.13,7.66,81.78,22,0,0
4,115.03,0.05,1,1,6,3,109.28,6.64,23.96,20,1,0
0,16.11,0.0,1,1,6,0,16.11,5.19,2.06,25,0,0
6,2.46,0.0,1,2,5,1,2.46,1.96,-0.98,43,0,0
1,1190.0,0.1,1,2,4,4,1071.0,8.88,119.64,38,0,1
5,62.37,0.3,2,1,4,2,87.32,6.34,19.86,44,0,0
4,30.62,0.0,1,1,3,2,30.62,5.09,3.48,54,1,0
3,30.2,0.05,1,0,6,1,28.69,5.32,-3.02,69,0,0
3,1.8,0.0,1,2,3,2,1.8,2.14,-2.0,18,0,0
0,38.65,0.15,1,3,5,4,32.85,6.52,8.26,45,0,1
5,34.95,0.0,1,0,5,3,34.95,3.21,7.28,52,1,0
1,410.13,0.0,1,2,4,2,410.13,8.95,40.27,48,0,0
5,25.85,0.15,1,2,6,1,21.97,5.67,0.92,19,1,0
2,51.92,0.05,1,2,4,0,49.32,5.61,11.65,35,1,0
3,9.27,0.2,1,5,4,3,7.42,2.75,-2.16,18,0,0
4,172.81,0.05,1,2,4,2,164.17,7.36,38.61,59,1,0
4,245.99,0.0,1,3,5,2,245.99,9.64,59.24,34,1,0
1,175.33,0.2,1,4,5,1,140.26,9.06,7.77,55,0,0
1,168.12,0.0,1,2,6,3,168.12,6.88,13.29,59,0,0
3,26.13,0.0,2,4,3,2,52.26,5.66,-1.48,29,1,0
0,52.54,0.0,3,2,4,3,157.62,6.97,63.96,25,1,0
2,36.67,0.0,1,0,6,1,36.67,3.61,9.22,27,0,0
3,14.39,0.1,1,2,4,3,12.95,2.82,-1.78,58,0,0
4,214.63,0.0,1,4,4,0,214.63,7.23,52.87,24,1,0
5,33.89,0.05,1,1,4,4,32.2,4.92,4.74,20,2,0
6,14.3,0.0,1,2,4,2,14.3,3.46,2.26,27,0,0
4,315.95,0.0,1,2,5,2,315.95,7.66,80.81,52,0,0
5,28.99,0.15,1,5,4,4,24.64,7.33,0.06,18,1,1
2,8.72,0.0,4,1,6,3,34.88,6.41,5.8,53,1,1
3,50.28,0.05,1,1,5,3,47.77,7.09,-3.27,41,0,0
2,137.23,0.0,1,5,3,0,137.23,8.68,39.35,55,0,0
4,314.52,0.0,1,5,7,3,314.52,6.99,81.08,64,0,0
1,95.34,0.05,1,1,5,4,90.57,7.38,3.49,21,0,0
4,104.83,0.0,1,4,5,2,104.83,6.83,22.52,44,1,0
2,7.24,0.2,1,1,5,4,5.79,2.46,-0.43,39,1,0
3,4.89,0.2,1,1,5,1,3.91,3.26,-2.95,45,1,0
2,21.48,0.05,1,1,4,4,20.41,3.57,3.57,55,1,0
0,3.2,0.2,1,0,4,2,2.56,3.29,-2.14,35,1,0
2,59.41,0.05,1,2,7,4,56.44,6.79,12.96,21,0,0
2,8.29,0.1,1,2,4,4,7.46,5.11,-2.5,58,2,0
0,30.12,0.15,1,4,4,2,25.6,3.2,8.32,41,1,0
1,349.11,0.05,1,4,5,3,331.65,9.49,30.31,52,0,0
0,22.46,0.15,1,0,4,0,19.09,5.26,3.33,62,1,0
2,26.57,0.0,1,2,5,1,26.57,5.75,3.55,69,1,0
6,5.14,0.0,1,3,4,0,5.14,4.22,-2.16,43,1,0
4,11.73,0.15,1,4,4,4,9.97,2.51,0.28,69,1,0
6,41.65,0.1,4,2,5,3,149.94,6.69,53.29,33,2,1
6,28.33,0.05,1,3,5,4,26.91,4.66,6.1,18,1,0
3,28.16,0.1,4,5,5,2,101.38,5.53,2.58,34,0,0
5,90.04,0.0,2,1,7,1,180.08,7.95,46.07,68,1,0
2,6.06,0.0,1,3,3,0,6.06,4.16,-2.04,55,0,0
4,274.72,0.05,1,3,4,2,260.98,9.1,63.97,24,0,0
1,940.92,0.0,3,2,3,2,2822.76,9.95,328.78,59,0,0
2,13.58,0.05,1,1,6,4,12.9,3.5,1.01,49,0,0
1,401.39,0.1,2,3,6,0,722.5,8.32,78.38,29,0,0
5,22.36,0.0,3,3,6,1,67.08,8.23,11.89,37,0,0
0,21.49,0.0,2,2,4,2,42.98,5.29,14.05,39,1,0
3,4.72,0.0,3,2,6,3,14.16,4.48,-3.35,30,0,0
0,17.95,0.0,1,0,5,1,17.95,4.89,3.19,55,1,0
0,23.08,0.15,1,1,3,2,19.62,6.21,2.62,23,2,0
5,108.91,0.2,1,1,5,3,87.13,5.88,20.26,26,0,0
2,33.36,0.05,1,4,5,3,31.69,4.78,6.31,32,0,0
4,34.06,0.0,4,1,4,0,136.24,7.17,30.98,29,0,0
0,12.76,0.0,1,2,3,0,12.76,4.08,1.66,41,0,0
4,83.64,0.0,1,1,4,4,83.64,5.42,18.0,48,0,0
2,133.1,0.0,1,4,5,1,133.1,8.06,38.52,39,1,0
3,1.78,0.0,1,2,4,2,1.78,0.9,-0.76,49,0,0
5,155.19,0.05,1,3,4,3,147.43,7.52,36.71,35,1,0
1,221.87,0.05,2,2,5,2,421.55,11.09,39.5,41,0,0
1,221.8,0.1,1,2,5,1,199.62,10.44,13.51,21,0,0
2,20.57,0.1,1,0,5,3,18.51,6.03,0.45,41,0,0
3,20.96,0.15,1,1,4,0,17.82,4.62,-3.19,67,1,0
4,83.27,0.05,1,2,5,1,79.11,8.31,13.84,61,1,0
5,151.61,0.1,1,0,7,1,136.45,7.18,33.75,67,0,0
4,21.75,0.2,5,0,5,3,87.0,5.59,18.77,53,2,0
5,398.45,0.15,1,3,4,0,338.68,8.98,92.62,35,1,0
4,135.09,0.0,1,1,4,4,135.09,8.66,29.17,38,0,0
5,94.26,0.05,1,5,5,1,89.55,5.27,21.6,59,1,0
1,132.64,0.0,1,2,5,2,132.64,6.04,9.88,49,0,0
5,289.5,0.15,1,1,6,2,246.08,7.49,66.33,54,0,0
5,17.06,0.15,1,5,5,1,14.5,4.98,-0.63,33,1,0
4,81.36,0.0,1,4,7,1,81.36,7.99,14.79,47,1,0
0,17.35,0.0,1,1,4,4,17.35,4.22,3.59,64,1,0
5,14.54,0.1,1,4,7,1,13.09,4.27,-0.34,27,1,0
1,891.52,0.05,1,0,6,1,846.94,12.42,89.21,58,0,0
2,34.56,0.0,1,5,3,0,34.56,5.11,6.99,23,0,0
1,862.93,0.1,1,2,4,4,776.64,10.88,82.32,33,1,0
1,216.29,0.2,1,1,5,0,173.03,8.03,12.73,39,1,0
4,21.75,0.0,3,3,6,4,65.25,5.57,12.7,52,0,0
2,44.83,0.05,1,1,5,0,42.59,4.1,10.81,31,0,0
1,83.88,0.0,1,1,4,3,83.88,6.39,3.68,63,1,0
5,27.19,0.0,1,1,5,4,27.19,5.9,2.26,56,2,0
5,87.07,0.0,1,2,4,3,87.07,6.72,19.4,29,1,0
4,151.69,0.0,1,1,6,4,151.69,7.45,35.02,25,0,0
0,22.92,0.05,1,1,4,2,21.77,6.8,3.0,46,1,0
1,548.79,0.0,2,3,6,1,1097.58,9.58,122.13,27,1,1
0,4.37,0.0,1,2,5,0,4.37,3.63,-1.66,24,0,0
0,38.93,0.05,2,5,4,4,73.97,6.69,26.6,58,2,0
4,37.08,0.05,1,4,5,1,35.23,6.22,3.64,64,0,0
5,36.22,0.05,1,1,4,2,34.41,5.7,4.62,61,1,0
6,8.39,0.0,1,2,4,4,8.39,1.42,1.94,33,0,0
3,1.46,0.05,2,2,3,2,2.77,1.07,-0.85,27,1,0
2,95.11,0.2,1,2,5,3,76.09,5.24,21.39,33,1,0
5,87.44,0.2,1,0,4,4,69.95,6.37,14.61,43,1,0
4,49.01,0.05,1,1,7,1,46.56,5.08,7.96,51,1,0
6,12.61,0.0,2,2,4,4,25.22,5.27,4.82,47,0,1
4,49.95,0.0,1,1,5,3,49.95,4.1,9.89,61,0,1
1,428.09,0.0,2,5,5,1,856.18,8.84,93.9,67,2,0
3,5.08,0.0,1,1,6,0,5.08,2.49,-2.08,47,0,0
5,204.35,0.05,3,1,3,2,582.4,8.43,166.29,24,1,0
3,17.96,0.0,1,2,3,2,17.96,5.42,-3.98,69,1,0
3,2.84,0.0,1,5,5,1,2.84,2.2,-1.97,18,0,0
3,15.55,0.0,1,1,4,2,15.55,4.01,-2.77,22,1,0
6,37.18,0.0,1,2,4,3,37.18,6.5,8.37,38,1,0
4,15.44,0.0,1,1,5,3,15.44,3.66,0.66,67,1,0
1,225.89,0.0,1,0,4,3,225.89,9.5,17.61,42,1,0
1,69.79,0.0,1,1,4,2,69.79,6.27,2.1,45,0,0
4,143.57,0.0,1,2,5,1,143.57,9.33,30.87,46,1,0
3,22.39,0.0,1,4,4,3,22.39,3.76,-1.97,22,1,0
6,42.87,0.05,1,1,3,2,40.73,5.09,11.2,55,0,0
2,15.29,0.0,2,2,5,0,30.58,5.22,5.48,44,1,0
2,128.34,0.1,1,0,3,0,115.51,7.89,32.54,23,1,0
0,15.73,0.05,1,1,4,0,14.94,3.75,2.97,66,1,0
4,152.11,0.05,1,0,6,2,144.5,8.89,31.57,21,0,0
4,44.74,0.15,1,2,7,1,38.03,4.78,5.87,46,0,0
1,154.63,0.1,1,2,5,3,139.17,6.99,9.71,46,0,0
6,5.31,0.0,2,0,3,0,10.62,4.67,-0.42,62,1,1
3,3.84,0.0,3,1,6,4,11.52,3.6,-2.68,54,0,0
5,10.42,0.0,1,1,3,0,10.42,4.25,-1.12,22,1,0
5,91.01,0.05,3,1,5,3,259.38,7.24,70.57,37,1,0
3,13.78,0.0,5,5,6,1,68.9,6.74,-1.23,25,0,0
0,63.4,0.05,3,4,6,3,180.69,8.55,72.76,34,0,0
1,56.54,0.15,1,3,7,1,48.06,5.38,0.39,32,1,0
0,3.07,0.1,1,0,5,4,2.76,1.01,0.23,66,0,0
1,550.68,0.1,1,0,5,3,495.61,8.51,50.96,37,0,0
2,96.48,0.0,1,4,4,3,96.48,6.03,27.74,28,1,0
2,58.33,0.0,1,1,5,1,58.33,6.32,14.1,39,1,0
2,29.97,0.0,1,0,5,4,29.97,5.51,4.98,63,2,0
3,41.09,0.15,1,1,6,3,34.93,5.94,-3.15,42,1,0
6,7.44,0.0,1,2,4,2,7.44,2.73,0.25,56,0,0
4,235.81,0.0,1,1,4,3,235.81,9.24,56.79,55,1,0
2,63.41,0.05,1,1,6,1,60.24,7.73,13.35,52,0,0
4,166.81,0.0,2,0,5,3,333.62,9.1,84.31,39,0,0
3,2.31,0.0,1,1,5,4,2.31,1.85,-1.67,22,0,0
4,239.37,0.05,1,2,3,0,227.4,7.3,56.37,39,1,0
2,21.34,0.05,1,1,4,0,20.27,4.0,3.09,46,0,0
4,176.67,0.0,1,1,4,2,176.67,7.53,41.94,68,1,1
4,199.23,0.0,1,0,5,4,199.23,7.25,48.53,65,2,0
1,299.31,0.05,1,1,4,0,284.34,8.89,25.23,38,1,0
4,94.61,0.15,2,3,5,1,160.84,8.12,36.92,53,0,0
3,2.22,0.1,1,0,4,4,2.0,2.58,-2.42,64,0,0
1,1284.04,0.0,1,5,8,3,1284.04,10.86,143.22,34,0,0
1,806.31,0.1,3,1,6,3,2177.04,9.81,251.43,45,1,0
1,192.67,0.0,1,0,3,2,192.67,9.37,13.75,36,1,0
2,109.9,0.05,1,1,4,2,104.4,7.29,29.25,35,0,0
6,17.95,0.2,2,1,3,2,28.72,5.25,6.24,18,1,0
3,3.82,0.0,1,2,5,4,3.82,2.96,-2.65,58,1,0
4,23.04,0.0,1,1,5,4,23.04,3.07,3.38,45,1,0
1,229.3,0.0,1,2,5,1,229.3,8.5,19.02,61,1,0
1,379.45,0.1,1,4,3,0,341.5,8.97,32.01,35,0,0
0,20.6,0.0,2,2,4,4,41.2,5.59,12.95,42,1,0
0,3.79,0.0,1,1,7,1,3.79,2.19,-0.48,64,1,0
5,317.99,0.0,1,5,4,2,317.99,9.65,85.75,41,0,0
6,5.13,0.0,1,1,5,2,5.13,1.51,0.54,46,0,0
1,407.5,0.0,1,0,3,0,407.5,8.28,40.62,51,0,0
3,15.01,0.05,1,2,5,3,14.26,4.03,-2.89,36,1,0
2,77.78,0.15,4,1,5,1,264.45,8.45,84.11,66,0,0
0,6.85,0.0,1,1,8,1,6.85,2.66,0.42,19,1,0
5,304.9,0.1,1,4,9,3,274.41,8.87,73.45,41,0,0
1,374.57,0.05,2,1,6,1,711.68,8.0,77.4,64,1,1
1,201.68,0.0,1,1,6,1,201.68,7.52,16.68,30,0,0
4,105.64,0.0,1,1,4,3,105.64,6.03,23.55,30,0,0
0,20.55,0.0,4,1,5,3,82.2,6.37,30.62,53,0,0
5,97.18,0.1,4,2,4,4,349.85,9.05,95.9,32,0,0
4,143.88,0.2,3,1,6,1,345.31,8.86,87.83,65,0,0
6,12.83,0.05,1,0,5,3,12.19,5.46,-0.58,24,0,0
3,3.84,0.0,1,1,7,1,3.84,1.65,-1.34,23,0,0
1,625.02,0.0,4,4,4,3,2500.08,11.08,288.93,42,1,0
2,50.98,0.0,1,1,4,0,50.98,5.09,12.75,57,0,0
6,37.45,0.0,1,1,4,4,37.45,6.6,8.38,33,0,0
4,178.62,0.0,1,2,5,2,178.62,9.05,40.96,67,0,0
1,916.54,0.0,1,1,5,3,916.54,10.03,99.95,25,0,0
1,91.74,0.0,1,4,4,4,91.74,4.87,6.14,20,1,0
6,43.35,0.2,1,1,5,3,34.68,5.09,8.78,25,1,0
4,146.7,0.0,1,1,6,1,146.7,7.85,33.23,56,0,0
1,161.78,0.05,1,2,5,1,153.69,7.29,11.15,25,1,0
4,27.44,0.0,1,1,3,0,27.44,5.64,2.04,23,1,0
4,40.48,0.05,1,1,5,2,38.46,5.82,4.95,64,1,0
6,54.28,0.05,1,1,4,3,51.57,6.09,14.54,54,0,0
1,1189.76,0.0,1,2,4,3,1189.76,10.42,132.35,23,1,0
5,147.02,0.1,2,4,5,2,264.64,7.94,71.45,56,2,0
3,28.28,0.0,1,2,5,1,28.28,4.59,-2.33,59,1,0
3,11.28,0.15,1,3,5,4,9.59,3.58,-2.81,68,1,0
4,129.39,0.0,1,4,4,0,129.39,8.23,28.0,52,1,0
5,67.42,0.1,1,1,4,3,60.68,4.95,13.25,43,0,0
3,27.06,0.1,1,0,8,1,24.35,6.55,-4.6,35,1,0
1,223.08,0.15,1,5,3,0,189.62,8.75,14.0,61,0,0
1,70.08,0.0,2,0,4,0,140.16,7.76,9.06,47,0,0
4,152.94,0.0,1,0,3,2,152.94,5.18,37.64,43,0,0
1,423.01,0.05,3,1,5,3,1205.58,10.96,133.71,65,1,0
5,84.8,0.0,2,4,5,3,169.6,9.03,41.85,66,0,0
0,18.03,0.2,1,3,4,2,14.42,3.43,3.06,65,1,0
0,18.83,0.0,5,1,3,2,94.15,4.5,37.87,25,1,0
1,409.81,0.2,1,3,6,1,327.85,10.06,29.28,30,0,0
4,45.31,0.0,1,1,3,0,45.31,6.81,5.88,66,0,0
5,79.73,0.0,1,1,5,1,79.73,5.73,18.19,28,1,0
1,556.51,0.0,1,4,3,2,556.51,8.78,58.0,52,1,0
5,284.9,0.1,1,5,6,1,256.41,8.36,68.56,20,0,0
2,167.42,0.0,3,2,8,4,502.26,9.78,166.01,52,0,0
2,53.17,0.2,1,3,7,1,42.54,4.55,10.34,67,1,0
1,302.99,0.05,1,1,4,3,287.84,7.94,26.6,28,0,0
3,5.84,0.0,1,3,4,4,5.84,2.88,-2.41,56,1,0
0,22.46,0.0,1,2,4,2,22.46,4.31,5.8,48,0,0
6,52.1,0.0,1,0,7,1,52.1,4.93,15.91,69,1,1
5,88.96,0.0,1,1,4,0,88.96,5.03,21.66,56,1,0
3,11.59,0.05,3,0,6,1,33.03,5.76,-3.12,69,2,0
3,14.72,0.05,1,1,6,3,13.98,5.19,-4.07,46,0,0
3,14.41,0.0,3,1,5,0,43.23,6.32,-2.86,61,1,0
0,34.09,0.05,1,1,4,4,32.39,5.46,9.12,30,1,0
6,84.07,0.0,4,2,4,2,336.28,10.08,124.43,58,0,0
1,376.09,0.05,1,1,5,4,357.29,9.61,33.26,18,1,0
1,301.7,0.0,1,2,5,3,301.7,10.5,25.7,29,1,0
2,93.15,0.0,1,5,3,2,93.15,6.32,26.28,26,1,0
1,277.14,0.05,1,2,7,1,263.28,9.25,22.34,47,0,0
0,15.45,0.05,1,0,4,2,14.68,3.71,2.9,51,0,0
5,178.71,0.0,2,2,4,2,357.42,9.97,97.26,51,1,0
5,322.54,0.0,3,1,5,4,967.62,10.95,279.34,33,1,0
3,43.62,0.0,1,1,5,0,43.62,5.99,-2.5,44,0,0
1,63.53,0.0,1,2,4,3,63.53,7.41,0.21,44,1,0
1,355.22,0.05,2,0,5,2,674.92,10.69,70.3,47,0,0
3,1.17,0.05,1,4,3,0,1.11,0.85,-0.76,41,1,0
4,316.43,0.05,1,0,8,1,300.61,8.57,75.6,61,1,0
2,16.82,0.0,1,2,3,0,16.82,4.44,1.45,58,1,0
5,87.18,0.15,1,0,6,3,74.1,7.28,14.95,39,1,0
2,63.87,0.2,2,3,5,2,102.19,6.94,28.83,66,1,0
1,408.76,0.0,1,1,6,1,408.76,8.66,40.39,46,0,0
6,76.74,0.0,1,2,5,0,76.74,5.83,24.87,46,1,0
5,55.65,0.0,1,0,5,2,55.65,6.12,10.58,55,1,0
6,8.91,0.0,2,1,5,1,17.82,7.94,-0.81,44,1,0
0,6.55,0.2,1,2,4,4,5.24,2.95,-0.59,24,0,0
2,15.86,0.0,1,3,5,4,15.86,3.32,2.23,68,0,0
3,4.06,0.0,1,5,5,2,4.06,2.33,-2.01,20,1,0
1,442.92,0.05,2,4,3,2,841.55,10.31,90.68,20,1,0
5,116.32,0.2,1,2,6,3,93.06,5.72,22.2,51,0,0
6,18.54,0.0,1,2,5,4,18.54,3.98,3.44,51,0,0
6,24.67,0.0,1,0,7,1,24.67,5.6,4.27,34,1,0
0,7.69,0.0,1,2,6,3,7.69,2.64,0.82,44,1,0
2,12.0,0.1,1,0,4,0,10.8,2.94,0.84,59,0,0
4,86.31,0.0,1,1,4,3,86.31,7.29,16.88,55,0,0
3,5.35,0.0,1,4,3,2,5.35,3.92,-3.49,59,0,0
3,2.03,0.1,1,4,4,0,1.83,1.25,-1.1,65,1,0
5,31.99,0.15,1,1,5,4,27.19,3.39,4.77,36,0,0
2,126.86,0.05,1,1,5,3,120.52,8.18,34.0,37,0,1
2,14.07,0.0,1,2,8,3,14.07,3.16,1.76,59,1,0
5,229.84,0.0,1,1,3,2,229.84,7.76,61.19,36,1,0
1,56.92,0.05,2,5,7,3,108.15,5.96,7.02,28,0,0
3,34.93,0.1,2,2,4,4,62.87,5.72,-0.69,50,0,0
3,6.34,0.05,2,1,7,4,12.05,5.09,-4.13,60,1,0
1,114.48,0.0,1,5,5,3,114.48,6.0,7.74,54,1,0
4,219.59,0.0,1,5,7,2,219.59,6.98,54.51,26,1,0
3,1.02,0.0,1,1,5,1,1.02,2.2,-2.12,20,1,0
1,247.27,0.1,1,1,6,4,222.54,8.49,18.21,21,1,0
0,47.37,0.2,1,2,4,3,37.9,3.36,13.7,59,1,0
6,63.51,0.0,4,2,6,3,254.04,8.32,93.3,34,0,0
4,133.14,0.2,5,5,6,3,532.56,9.6,139.52,48,0,0
0,5.38,0.0,1,0,3,2,5.38,1.09,1.33,31,1,0
2,87.36,0.0,1,4,5,1,87.36,6.45,24.13,65,1,0
2,14.13,0.1,1,0,7,4,12.72,4.72,-0.27,18,1,0
6,2.42,0.05,1,2,4,0,2.3,1.96,-1.04,39,1,0
1,112.2,0.05,1,2,5,3,106.59,7.85,4.94,26,1,0
4,31.99,0.0,1,1,4,3,31.99,7.52,1.44,59,0,0
0,28.82,0.0,1,1,4,4,28.82,7.27,5.7,43,0,0
5,134.97,0.0,3,5,3,2,404.91,7.96,113.51,44,1,0
1,218.2,0.0,2,2,4,4,436.4,8.86,43.51,60,0,0
6,2.43,0.05,1,4,5,3,2.31,2.31,-1.39,54,0,0
1,56.72,0.0,3,5,4,3,170.16,8.06,12.36,54,0,0
0,3.14,0.05,1,4,6,1,2.98,2.25,-0.91,65,1,0
2,103.59,0.15,2,1,3,2,176.1,7.61,54.02,47,1,0
1,54.73,0.0,1,5,5,0,54.73,5.62,0.95,41,1,0
0,68.87,0.2,2,1,4,0,110.19,6.85,42.74,46,1,0
4,96.46,0.05,1,2,5,2,91.64,7.08,18.58,69,1,0
5,133.85,0.05,1,3,4,2,127.16,6.98,31.17,40,1,0
0,6.72,0.0,2,1,3,2,13.44,3.26,2.79,33,1,0
1,267.14,0.0,1,1,5,1,267.14,10.54,21.52,28,1,0
4,47.2,0.05,5,3,5,3,224.2,8.3,54.48,38,1,0
4,139.43,0.0,2,2,8,4,278.86,8.88,69.2,63,0,0
1,67.86,0.2,1,2,3,2,54.29,6.74,-0.23,39,1,0
5,45.28,0.1,5,1,5,4,203.76,8.48,52.65,51,1,0
0,18.22,0.05,1,1,3,0,17.31,4.99,2.8,26,0,0
1,428.86,0.05,1,4,5,3,407.42,9.84,39.05,48,1,0
4,19.43,0.15,1,1,6,0,16.52,5.84,-1.21,26,1,0
4,172.64,0.1,1,1,4,4,155.38,8.04,35.47,40,1,0
0,15.96,0.0,1,1,5,1,15.96,4.42,2.76,30,0,0
0,10.13,0.0,1,4,6,2,10.13,4.19,0.37,69,0,0
2,31.58,0.0,1,2,5,4,31.58,6.86,4.19,68,1,0
1,584.69,0.0,1,0,8,1,584.69,10.51,59.65,48,0,0
3,6.22,0.0,1,5,7,2,6.22,2.81,-2.31,69,0,0
2,43.78,0.0,1,3,6,1,43.78,5.24,10.08,20,0,0
4,157.03,0.1,3,3,4,4,423.98,7.45,111.26,39,0,0
5,32.12,0.0,1,2,7,4,32.12,5.27,4.37,53,0,0
